feature,importance,rank
amount,224.3620147705078,77
V189,224.0478057861328,78
V39,222.9879913330078,79
V13,222.4482421875,80
V324,220.5839385986328,81
M9,220.57601928710938,82
V129,219.9571533203125,83
TransactionDT,219.2353973388672,84
V75,218.19735717773438,85
V49,217.52630615234375,86
D1,216.85751342773438,87
V177,216.5990753173828,88
R_emaildomain,216.0206756591797,89
C9,213.0395965576172,90
V317,208.2746124267578,91
id_01,202.4050750732422,92
V90,202.17196655273438,93
V20,201.3008270263672,94
V98,197.131103515625,95
device_distinct_payers_7d,197.06211853027344,96
V57,196.9912567138672,97
V299,196.61203002929688,98
card5,195.3472442626953,99
V157,192.96670532226562,100
V82,190.87730407714844,101
V53,190.75209045410156,102
P_emaildomain,190.2329559326172,103
V55,190.21778869628906,104
V67,188.62855529785156,105
D10,187.3428955078125,106
V320,187.17288208007812,107
payer_txn_sum_24h,187.15670776367188,108
V38,186.75982666015625,109
V339,185.89981079101562,110
V33,184.86813354492188,111
device_txn_count_1h,184.8557586669922,112
V29,181.8518829345703,113
V85,181.4288330078125,114
V37,179.26356506347656,115
V261,177.98512268066406,116
C2,176.19790649414062,117
V44,172.87753295898438,118
V24,171.8672637939453,119
V25,171.50375366210938,120
V12,170.5129852294922,121
D4,169.7359161376953,122
V64,166.39569091796875,123
payer_vpa,165.05081176757812,124
V131,164.66990661621094,125
V48,163.8784942626953,126
id_36,163.45521545410156,127
V225,160.72152709960938,128
V71,160.60720825195312,129
V165,160.56396484375,130
V109,159.90431213378906,131
DeviceType,159.55238342285156,132
V11,159.2223663330078,133
V338,157.97433471679688,134
V272,157.8726806640625,135
V30,156.93463134765625,136
card2,156.8983154296875,137
C12,155.84449768066406,138
V2,154.30970764160156,139
V219,153.16651916503906,140
V87,152.99229431152344,141
V76,152.44078063964844,142
id_38,151.01707458496094,143
V124,151.00831604003906,144
V309,150.54649353027344,145
V94,149.72515869140625,146
V262,148.6739044189453,147
id_35,148.10169982910156,148
V178,147.9928741455078,149
id_10,146.58926391601562,150
payer_distinct_payees_7d,145.8900146484375,151
V52,145.1417236328125,152
V220,144.8583984375,153
D7,142.02285766601562,154
C3,141.88304138183594,155
V130,141.32632446289062,156
dist1,140.74075317382812,157
card1,140.1016082763672,158
V61,139.189453125,159
V224,138.65652465820312,160
D6,137.75172424316406,161
device_txn_count_24h,137.60708618164062,162
id_03,137.47738647460938,163
V222,137.0906524658203,164
V7,136.79551696777344,165
V172,136.72891235351562,166
V239,136.00927734375,167
V125,135.63607788085938,168
V164,134.4351806640625,169
V97,134.42776489257812,170
V63,134.19784545898438,171
V84,133.40675354003906,172
V198,133.23878479003906,173
V51,133.17263793945312,174
V163,133.082275390625,175
V115,132.9005889892578,176
V78,132.82974243164062,177
D11,132.6929931640625,178
V36,131.77223205566406,179
V145,131.3828887939453,180
V26,131.26856994628906,181
V314,131.0185089111328,182
D8,130.69956970214844,183
V159,130.1707000732422,184
V204,129.7489013671875,185
id_34,129.44651794433594,186
payer_txn_count_1h,129.12335205078125,187
V323,128.84535217285156,188
V74,128.45941162109375,189
V206,128.40440368652344,190
V326,128.0425567626953,191
V6,127.24056243896484,192
V23,127.06591796875,193
addr1,125.5506591796875,194
V141,125.51005554199219,195
id_13,124.45946502685547,196
id_30,124.40121459960938,197
V199,124.2381591796875,198
V66,120.86396026611328,199
V136,120.79707336425781,200
id_02,120.41546630859375,201
M7,119.98905944824219,202
V263,119.12222290039062,203
V81,117.48173522949219,204
id_37,116.4437026977539,205
V4,115.9969482421875,206
D13,115.0834732055664,207
card4,115.01010131835938,208
V234,114.7857437133789,209
V300,114.50386810302734,210
V293,113.90348052978516,211
V58,113.7403335571289,212
V268,112.5912094116211,213
V15,112.18939971923828,214
V135,111.60419464111328,215
V318,111.3756103515625,216
V291,111.16626739501953,217
V289,110.79232788085938,218
V96,110.15595245361328,219
V217,109.99446105957031,220
V176,109.64732360839844,221
id_04,108.36221313476562,222
V35,106.96564483642578,223
V313,106.85124206542969,224
V316,106.83406829833984,225
V144,105.90673828125,226
V127,104.99720764160156,227
id_33,104.97998809814453,228
id_20,104.8887710571289,229
V151,104.4432144165039,230
V121,104.1719970703125,231
id_14,104.03916931152344,232
V50,103.9917221069336,233
V332,103.97712707519531,234
id_31,103.83084869384766,235
V207,103.23419952392578,236
V266,102.41458892822266,237
V122,102.15962219238281,238
V333,101.85511779785156,239
V60,101.1350326538086,240
V227,101.10617065429688,241
id_06,100.1645278930664,242
V5,99.3137435913086,243
V139,98.53553009033203,244
V19,98.4469223022461,245
V40,98.36112213134766,246
V205,97.33665466308594,247
V77,96.81343841552734,248
V99,96.07878112792969,249
V56,96.07723236083984,250
V10,94.37764739990234,251
V68,94.35906982421875,252
V143,93.62340545654297,253
V105,92.53233337402344,254
V292,92.4187240600586,255
V137,92.4155044555664,256
V86,91.93084716796875,257
V126,90.84339141845703,258
id_08,90.49539947509766,259
V278,89.4361572265625,260
id_17,89.12725067138672,261
V255,88.72694396972656,262
id_21,88.21277618408203,263
V286,87.88642120361328,264
V166,86.00917053222656,265
V184,85.25096130371094,266
V319,84.76866149902344,267
V134,84.60160827636719,268
V271,84.16889190673828,269
V106,83.9818115234375,270
V43,83.40553283691406,271
V276,82.71260833740234,272
V267,82.56600952148438,273
id_07,82.25812530517578,274
V104,82.21223449707031,275
D9,82.19499969482422,276
payer_txn_sum_5min,82.17320251464844,277
id_18,82.06880187988281,278
